Date,Forecast
2022-04-29,33839.71077781786
2022-04-30,33870.65386894884
2022-05-01,33855.96591819123
2022-05-02,33963.19325183907
2022-05-03,33858.11357635069
2022-05-04,33951.00803392728
2022-05-05,33877.96180151334
2022-05-06,33926.34233230738
2022-05-07,33904.46255651032
2022-05-08,33900.81766455974
2022-05-09,33926.62641255488
2022-05-10,33883.78957855682
2022-05-11,33937.455595132225
2022-05-12,33879.49026782917
2022-05-13,33935.572476935755
2022-05-14,33886.64382417073
2022-05-15,33924.46927223044
2022-05-16,33900.14454111196
2022-05-17,33910.17530097414
2022-05-18,33913.73862368279
2022-05-19,33898.529990311195
2022-05-20,33922.52409466689
2022-05-21,33893.12814755794
2022-05-22,33924.41151675901
2022-05-23,33894.526383892786
2022-05-24,33920.25122230888
2022-05-25,33900.71627156411
2022-05-26,33912.87676137602
2022-05-27,33908.41372841899
2022-05-28,33905.64812168652
2022-05-29,33914.52083305528
2022-05-30,33901.12862446229
2022-05-31,33917.1969724647
2022-06-01,33900.34097778722
2022-06-02,33916.24124066996
2022-06-03,33902.74132493192
2022-06-04,33912.80135051464
2022-06-05,33906.76155572076
2022-06-06,33908.66277215673
2022-06-07,33910.59926865901
2022-06-08,33905.46633918029
2022-06-09,33912.91686850137
2022-06-10,33904.15110626946
2022-06-11,33913.21889917281
2022-06-12,33904.7726164994
2022-06-13,33911.8433986593
2022-06-14,33906.678673032104
2022-06-15,33909.65588210929
2022-06-16,33908.90030549
2022-06-17,33907.621710066
2022-06-18,33910.56987476143
2022-06-19,33906.437333867354
2022-06-20,33911.210173550724
2022-06-21,33906.339786269236
2022-06-22,33910.81929097209
2022-06-23,33907.12333949229
2022-06-24,33909.766010861335
2022-06-25,33908.311457398995
2022-06-26,33908.575274295916
2022-06-27,33909.3878972636
2022-06-28,33907.70509438102
2022-06-29,33909.9908754331
2022-06-30,33907.39692111592
2022-07-01,33910.00875895061
2022-07-02,33907.63691588285
2022-07-03,33909.56473668001
2022-07-04,33908.21747217876
2022-07-05,33908.920567449924
2022-07-06,33908.85468544955
2022-07-07,33908.35189293877
2022-07-08,33909.30719768307
2022-07-09,33908.04618631254
2022-07-10,33909.45343810473
2022-07-11,33908.05496642486
2022-07-12,33909.3087408861
2022-07-13,33908.30541533651
2022-07-14,33908.989511792555
2022-07-15,33908.654068548036
2022-07-16,33908.6490403687
2022-07-17,33908.953979163605
2022-07-18,33908.414286990745
2022-07-19,33909.10825426534
2022-07-20,33908.346127020144
2022-07-21,33909.09375875912
2022-07-22,33908.432131162204
2022-07-23,33908.953083747016
2022-07-24,33908.60726698973
2022-07-25,33908.764693436766
2022-07-26,33908.78890312576
2022-07-27,33908.606803984665
2022-07-28,33908.91037862893
2022-07-29,33908.52935297983
2022-07-30,33908.94140149229
2022-07-31,33908.5423323846
2022-08-01,33908.89086928483
2022-08-02,33908.6210494412
2022-08-03,33908.79499296753
2022-08-04,33908.722676595324
2022-08-05,33908.69824397068
2022-08-06,33908.80564702597
2022-08-07,33908.635555753965
2022-08-08,33908.84430097242
2022-08-09,33908.62189293026
2022-08-10,33908.83457577417
2022-08-11,33908.65130135411
2022-08-12,33908.79068047284
2022-08-13,33908.70368003756
2022-08-14,33908.735946146655
2022-08-15,33908.75513272574
2022-08-16,33908.69242758715
2022-08-17,33908.78738917287
2022-08-18,33908.673266699036
2022-08-19,33908.79311925462
2022-08-20,33908.67994795716
2022-08-21,33908.776141572474
2022-08-22,33908.704347726976
2022-08-23,33908.747582619595
2022-08-24,33908.733779650436
2022-08-25,33908.72026268865
2022-08-26,33908.75656073586
2022-08-27,33908.70371721449
2022-08-28,33908.76598416177
2022-08-29,33908.70150050108
2022-08-30,33908.76162520552
2022-08-31,33908.71123440225
2022-09-01,33908.748102137695
2022-09-02,33908.72677641307
2022-09-03,33908.732300790936
2022-09-04,33908.74125917179
2022-09-05,33908.720399718615
2022-09-06,33908.74971692814
2022-09-07,33908.71580830769
2022-09-08,33908.750447374296
2022-09-09,33908.71855597996
2022-09-10,33908.744899981975
2022-09-11,33908.72603035862
2022-09-12,33908.73645735007
2022-09-13,33908.734500519575
2022-09-14,33908.72879237095
2022-09-15,33908.74070445394
2022-09-16,33908.724485080864
2022-09-17,33908.74291649953
2022-09-18,33908.72433832333
2022-09-19,33908.741226650825
2022-09-20,33908.72748315257
2022-09-21,33908.737106039305
2022-09-22,33908.73206118558
2022-09-23,33908.73257273693
2022-09-24,33908.73611108144
2022-09-25,33908.729345958556
2022-09-26,33908.73829561703
2022-09-27,33908.72829493785
2022-09-28,33908.738243595624
2022-09-29,33908.72931509539
2022-09-30,33908.73646913974
2022-10-01,33908.73158130995
2022-10-02,33908.733990966415
2022-10-03,33908.73400381358
2022-10-04,33908.73185481342
2022-10-05,33908.73567812464
2022-10-06,33908.73075195536
2022-10-07,33908.73616877983
2022-10-08,33908.73084950508
2022-10-09,33908.735561801055
2022-10-10,33908.73184652014
2022-10-11,33908.73431828748
2022-10-12,33908.73318574748
2022-10-13,33908.733025759146
2022-10-14,33908.734310497086
2022-10-15,33908.73215918839
2022-10-16,33908.73486441071
2022-10-17,33908.731935380805
2022-10-18,33908.734775043646
2022-10-19,33908.732292314955
2022-10-20,33908.73421698514
2022-10-21,33908.73297317859
2022-10-22,33908.73349444474
2022-10-23,33908.73366173363
2022-10-24,33908.73290330471
2022-10-25,33908.7341090334
2022-10-26,33908.73262672079
2022-10-27,33908.73420790671
2022-10-28,33908.73269432675
2022-10-29,33908.73400003417
2022-10-30,33908.733005601905
2022-10-31,33908.733628008085
2022-11-01,33908.733394797455
2022-11-02,33908.73326177705
2022-11-03,33908.73370490206
2022-11-04,33908.73303156175
2022-11-05,33908.73384208517
2022-11-06,33908.732989896474
2022-11-07,33908.7337953934
2022-11-08,33908.73310997451
2022-11-09,33908.733622324624
2022-11-10,33908.73331284941
2022-11-11,33908.7334130186
2022-11-12,33908.73350733267
2022-11-13,33908.73325065916
2022-11-14,33908.733625449146
2022-11-15,33908.7331831459
2022-11-16,33908.73364170296
2022-11-17,33908.73321371077
2022-11-18,33908.733572822435
2022-11-19,33908.7333096524
2022-11-20,33908.73346239983
2022-11-21,33908.733422038255
2022-11-22,33908.733359287566
2022-11-23,33908.73350687067
2022-11-24,33908.733298891275
2022-11-25,33908.733539792076
2022-11-26,33908.733293435296
2022-11-27,33908.73352048058
2022-11-28,33908.73333270834
2022-11-29,33908.73346744111
2022-11-30,33908.73339270005
2022-12-01,33908.73340719024
2022-12-02,33908.73344727929
2022-12-03,33908.73336296002
2022-12-04,33908.733478047005
2022-12-05,33908.73334708352
2022-12-06,33908.73347923001
2022-12-07,33908.733358980666
2022-12-08,33908.73345695713
2022-12-09,33908.73338822706
2022-12-10,33908.73342442197
2022-12-11,33908.733420477845
2022-12-12,33908.73339558038
2022-12-13,33908.733443487035
2022-12-14,33908.73337997046
2022-12-15,33908.73345103981
2022-12-16,33908.733380266254
2022-12-17,33908.73344384806
2022-12-18,33908.73339283811
2022-12-19,33908.73342776039
2022-12-20,33908.7334104524
2022-12-21,33908.733410524095
2022-12-22,33908.73342566726
2022-12-23,33908.73339858275
2022-12-24,33908.733433550944
2022-12-25,33908.73339505125
2022-12-26,33908.733432896624
2022-12-27,33908.73339933471
2022-12-28,33908.733425830585
2022-12-29,33908.733408163884
2022-12-30,33908.733416310395
2022-12-31,33908.733417361465
