ds,Forecast
2018-05-01,24926.036421349294
2018-05-02,24882.42488797545
2018-05-03,24819.830638935495
2018-05-04,24784.52759934802
2018-05-05,24726.14944879586
2018-05-06,24673.12682312882
2018-05-07,24623.689729160684
2018-05-08,24599.121690772627
2018-05-09,24572.1575569926
2018-05-10,24530.790147182604
2018-05-11,24520.993318165874
2018-05-12,24492.020149139396
2018-05-13,24471.843619488725
2018-05-14,24458.164473534645
2018-05-15,24471.67275672477
2018-05-16,24484.454862857834
2018-05-17,24483.811120252612
2018-05-18,24514.991300706595
2018-05-19,24526.50649644576
2018-05-20,24545.584445584966
2018-05-21,24569.192668708816
2018-05-22,24617.31554120158
2018-05-23,24661.37676196207
2018-05-24,24688.071858521318
2018-05-25,24742.117726200304
2018-05-26,24771.577272747112
2018-05-27,24803.325898307372
2018-05-28,24834.08385594186
2018-05-29,24883.7003426298
2018-05-30,24923.580557789734
2018-05-31,24940.52020393649
2018-06-01,24979.454325484676
2018-06-02,24988.778523207315
2018-06-03,24995.809310019973
2018-06-04,24997.807759068954
2018-06-05,25015.252467989583
2018-06-06,25020.253314828667
2018-06-07,25000.370777742588
2018-06-08,25001.34806386404
2018-06-09,24972.41447744045
2018-06-10,24941.727218809363
2018-06-11,24907.376213419335
2018-06-12,24890.63845371135
2018-06-13,24864.37378696354
2018-06-14,24816.827365394478
2018-06-15,24794.34642285709
2018-06-16,24746.670190704746
2018-06-17,24702.36048011788
2018-06-18,24659.797809985277
2018-06-19,24640.42977957956
2018-06-20,24617.163766156085
2018-06-21,24578.169237315033
2018-06-22,24569.597340406734
2018-06-23,24540.876503838626
2018-06-24,24520.151426139448
2018-06-25,24505.290110698686
2018-06-26,24517.145360347655
2018-06-27,24527.96247051398
2018-06-28,24525.198022182278
2018-06-29,24554.25701095502
2018-06-30,24563.806598773714
2018-07-01,24581.233394495855
2018-07-02,24603.668461073685
2018-07-03,24651.266006724338
2018-07-04,24695.627068568658
2018-07-05,24723.632693910997
2018-07-06,24780.193505027975
2018-07-07,24813.57363466199
2018-07-08,24850.855708798797
2018-07-09,24888.970902012363
2018-07-10,24947.97992994213
2018-07-11,24999.496265134316
2018-07-12,25030.516133438934
2018-07-13,25086.162300579068
2018-07-14,25114.999827578413
2018-07-15,25144.49072506437
2018-07-16,25172.011839645627
2018-07-17,25218.122190415535
2018-07-18,25254.971430771642
2018-07-19,25270.11440619375
2018-07-20,25309.239243948516
2018-07-21,25321.46758084878
2018-07-22,25334.79427583753
2018-07-23,25347.09133533899
2018-07-24,25379.36263151008
2018-07-25,25404.141408409447
2018-07-26,25409.295815948764
2018-07-27,25440.750119389104
2018-07-28,25447.780339713918
2018-07-29,25458.45175493123
2018-07-30,25470.623006149555
2018-07-31,25505.203337555093
2018-08-01,25534.55484974199
2018-08-02,25546.304830279612
2018-08-03,25586.075578706663
2018-08-04,25602.790203398632
2018-08-05,25624.12150373925
2018-08-06,25647.50833560969
2018-08-07,25693.42562458511
2018-08-08,25733.79953330308
2018-08-09,25755.832476468717
2018-08-10,25804.74504338715
2018-08-11,25829.09297138604
2018-08-12,25856.225981929525
2018-08-13,25883.312616500323
2018-08-14,25930.617023295148
2018-08-15,25969.919040914916
2018-08-16,25988.34216910992
2018-08-17,26031.096442092323
2018-08-18,26046.794362769007
2018-08-19,26062.90678271079
2018-08-20,26076.782992891178
2018-08-21,26108.921154516982
2018-08-22,26131.380638663115
2018-08-23,26131.601124277764
2018-08-24,26155.135758254808
2018-08-25,26150.956843774962
2018-08-26,26146.901259736653
2018-08-27,26118.952252256815
2018-08-28,26109.683749740158
2018-08-29,26091.47963590233
2018-08-30,26052.07252026393
2018-08-31,26037.26982716209
2018-09-01,25996.253801353356
2018-09-02,25957.022776407175
2018-09-03,25917.398383174568
2018-09-04,25898.28517906104
2018-09-05,25872.074547669086
2018-09-06,25826.457921236106
2018-09-07,25807.156749443468
2018-09-08,25763.227715312
2018-09-09,25722.510350386747
2018-09-10,25682.64149983177
2018-09-11,25664.322866293965
2018-09-12,25639.73321319298
2018-09-13,25596.35000249752
2018-09-14,25579.687613527833
