Date,Forecast
2022-04-29,33813.15789792857
2022-04-30,33866.79698073065
2022-05-01,33932.39675824259
2022-05-02,33989.55058661723
2022-05-03,33886.39151965208
2022-05-04,33846.03021157736
2022-05-05,33915.42514027471
2022-05-06,33944.74566731894
2022-05-07,33919.10346407396
2022-05-08,33913.64399455909
2022-05-09,33928.22564313111
2022-05-10,33989.745409841315
2022-05-11,33987.29379077276
2022-05-12,33984.38255920938
2022-05-13,34047.1082654254
2022-05-14,34028.16766775757
2022-05-15,34000.364348082854
2022-05-16,33974.408772199626
2022-05-17,34003.23691293961
2022-05-18,33988.77168985766
2022-05-19,33974.31991465969
2022-05-20,34026.6973737043
2022-05-21,34039.27450001139
2022-05-22,34042.085068627195
2022-05-23,34034.39134815531
2022-05-24,34045.062671009684
2022-05-25,34023.80570810314
2022-05-26,33997.042249611906
2022-05-27,34008.667627713716
2022-05-28,34012.13973853383
2022-05-29,34019.955868105244
2022-05-30,34028.303018174716
2022-05-31,34044.77034287003
2022-06-01,34043.31615142248
2022-06-02,34031.82228200338
2022-06-03,34029.692651862235
2022-06-04,34022.015208903926
2022-06-05,34016.867213043406
2022-06-06,34015.85294678307
2022-06-07,34022.85370502127
2022-06-08,34027.73567194002
2022-06-09,34030.428144446094
2022-06-10,34034.93395055134
2022-06-11,34034.637134354896
2022-06-12,34031.39329267704
2022-06-13,34026.73203411431
2022-06-14,34023.74179083713
2022-06-15,34021.594551110175
2022-06-16,34021.350058092095
2022-06-17,34024.212701342316
2022-06-18,34027.655713311186
2022-06-19,34030.47865147583
2022-06-20,34031.64319996158
2022-06-21,34031.08403766057
2022-06-22,34028.90406592006
2022-06-23,34026.10549638363
2022-06-24,34024.04421332625
2022-06-25,34023.3698287316
2022-06-26,34024.15328372443
2022-06-27,34025.93632457673
2022-06-28,34027.90328277936
2022-06-29,34029.33119149766
2022-06-30,34029.667248733145
2022-07-01,34028.847487353676
2022-07-02,34027.420818484825
2022-07-03,34025.945374799274
2022-07-04,34024.99941574381
2022-07-05,34024.85011059208
2022-07-06,34025.55543792308
2022-07-07,34026.71495516863
2022-07-08,34027.76723086642
2022-07-09,34028.40152364678
2022-07-10,34028.38143271642
2022-07-11,34027.78456972137
2022-07-12,34026.87569028665
2022-07-13,34026.08986558542
